name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
8159 sideroad 30 ,2021-01-14,2.1,-3.0,0.1,2.1,-3.5,-1.2,-1.2,91.3,0.0,0,0.0,,0.0,10.8,29.9,17.2,117.6,1008.9,98.6,6.5,38.0,3.3,2,,2021-01-14T07:52:12,2021-01-14T17:09:04,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-15,2.2,-0.1,1.3,-2.6,-5.5,-3.7,0.0,91.4,1.64,100,20.83,"rain,snow",0.0,8.0,45.9,30.6,99.4,1006.1,90.4,8.4,33.9,2.9,2,,2021-01-15T07:51:42,2021-01-15T17:10:17,0.08,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-16,0.1,-3.3,-1.2,-0.8,-7.9,-4.9,-3.0,87.3,0.047,100,8.33,"rain,snow",0.0,6.5,38.5,21.5,262.0,1001.7,86.4,13.5,56.6,4.8,4,,2021-01-16T07:51:09,2021-01-16T17:11:31,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-17,0.9,-2.5,-0.6,-3.5,-7.9,-5.0,-2.2,89.3,0.411,100,16.67,"rain,snow",0.2,6.3,40.3,25.2,274.4,1002.4,96.4,13.5,32.1,2.7,2,,2021-01-17T07:50:34,2021-01-17T17:12:47,0.14,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"71352099999,71297099999,CZEL,71368099999,71624099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-18,-0.6,-6.9,-3.9,-3.0,-8.1,-6.1,-5.4,89.0,0.01,100,4.17,"rain,snow",0.5,6.6,30.2,20.7,270.0,1009.0,94.5,13.8,37.2,3.2,2,,2021-01-18T07:49:57,2021-01-18T17:14:02,0.18,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-19,-2.2,-5.8,-3.6,-3.0,-11.5,-9.1,-6.1,83.3,1.115,100,33.33,snow,0.9,7.4,46.7,33.1,253.4,1015.6,82.2,11.9,67.0,5.8,5,,2021-01-19T07:49:18,2021-01-19T17:15:19,0.21,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-20,-5.8,-10.7,-7.8,-10.6,-16.6,-13.7,-11.2,76.8,0.015,100,4.17,snow,4.1,10.2,42.5,22.3,250.1,1016.9,87.1,15.4,51.7,4.4,3,,2021-01-20T07:48:36,2021-01-20T17:16:36,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,CXHM,71631099999,71263099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-21,0.7,-4.8,-1.1,-5.1,-11.2,-7.6,-4.2,79.9,0.037,100,20.83,"rain,snow",1.3,11.0,49.5,34.6,238.6,1000.5,87.8,16.1,64.9,5.4,3,,2021-01-21T07:47:52,2021-01-21T17:17:55,0.27,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,CXHM,71631099999,AV116,71263099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-22,-0.5,-9.1,-4.9,-6.6,-16.5,-11.9,-7.8,80.6,0.511,100,58.33,"rain,snow",1.5,9.7,45.9,28.7,287.3,1008.8,94.9,14.3,50.9,4.3,3,,2021-01-22T07:47:06,2021-01-22T17:19:13,0.3,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,F5184,71833099999"
8159 sideroad 30 ,2021-01-23,-7.6,-14.2,-9.9,-11.3,-20.7,-16.1,-13.4,75.9,0.002,100,4.17,snow,0.0,8.0,41.5,29.5,302.2,1024.8,79.7,14.3,114.7,10.0,5,,2021-01-23T07:46:18,2021-01-23T17:20:33,0.34,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,F5184,71833099999"
8159 sideroad 30 ,2021-01-24,-4.6,-9.2,-6.8,-6.0,-9.8,-8.3,-10.1,78.1,0.009,100,4.17,snow,0.0,7.7,20.2,10.8,174.2,1024.8,58.5,15.3,71.4,6.1,3,,2021-01-24T07:45:28,2021-01-24T17:21:52,0.37,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,CXHM,71631099999,71263099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-25,-1.3,-6.1,-4.2,-1.3,-8.3,-5.3,-6.9,82.3,0.0,0,0.0,,0.0,7.4,22.3,14.2,42.3,1019.2,77.3,14.7,78.3,6.8,4,,2021-01-25T07:44:35,2021-01-25T17:23:13,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-26,-2.5,-6.5,-3.7,-8.3,-12.4,-10.2,-5.6,87.1,2.757,100,50.0,snow,8.6,11.1,60.7,35.2,51.4,1010.6,94.9,12.0,32.6,3.0,2,,2021-01-26T07:43:41,2021-01-26T17:24:33,0.43,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-27,-4.8,-10.8,-7.3,-9.1,-16.3,-12.7,-10.8,76.5,0.0,0,0.0,snow,3.1,18.3,36.7,22.8,317.1,1022.9,61.1,14.8,128.3,11.0,6,,2021-01-27T07:42:45,2021-01-27T17:25:54,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-28,-9.0,-14.3,-11.5,-15.2,-22.8,-19.0,-14.8,76.8,0.014,100,12.5,snow,0.0,18.2,52.9,33.5,312.4,1029.2,48.8,14.3,117.0,10.1,6,,2021-01-28T07:41:47,2021-01-28T17:27:16,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-29,-7.9,-15.2,-10.4,-9.6,-21.5,-16.6,-13.6,77.8,0.0,0,0.0,snow,0.4,14.5,40.9,27.5,311.2,1027.7,76.5,14.6,92.2,7.9,5,,2021-01-29T07:40:46,2021-01-29T17:28:38,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-30,-3.8,-12.7,-8.9,-3.8,-17.2,-10.5,-12.1,78.4,0.0,0,0.0,snow,0.3,13.0,18.4,13.5,346.5,1027.6,81.5,14.6,87.6,7.6,4,,2021-01-30T07:39:44,2021-01-30T17:29:59,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-31,-6.1,-10.3,-8.2,-14.6,-17.9,-16.0,-11.6,77.6,0.0,0,0.0,,0.0,12.7,47.8,33.9,71.7,1021.5,94.4,14.7,52.1,4.5,3,,2021-01-31T07:38:40,2021-01-31T17:31:22,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,F5184,71833099999"
8159 sideroad 30 ,2021-02-01,-3.6,-11.7,-7.7,-8.8,-19.8,-14.4,-14.0,61.1,0.0,0,0.0,snow,5.2,14.7,35.4,24.6,46.6,1019.0,82.9,14.7,82.6,7.1,4,,2021-02-01T07:37:35,2021-02-01T17:32:44,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-02,-2.1,-10.8,-6.0,-8.3,-17.3,-12.4,-12.1,62.7,0.0,0,0.0,,0.0,16.4,48.2,28.6,349.6,1014.4,40.0,14.7,132.2,11.5,5,,2021-02-02T07:36:27,2021-02-02T17:34:06,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-03,-2.3,-8.5,-5.5,-7.9,-15.4,-12.0,-9.6,73.2,0.0,0,0.0,,0.0,13.0,47.2,24.3,322.9,1012.9,9.4,14.7,149.6,12.8,6,,2021-02-03T07:35:18,2021-02-03T17:35:29,0.71,Clear,Clear conditions throughout the day.,clear-day,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-04,1.0,-12.7,-4.8,-0.5,-18.3,-8.0,-9.1,72.8,0.0,0,0.0,"rain,snow",1.7,11.3,38.8,23.9,159.5,1012.0,29.6,14.2,140.0,12.1,6,,2021-02-04T07:34:07,2021-02-04T17:36:51,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-05,0.1,-9.9,-5.6,-5.9,-19.3,-13.8,-7.7,84.7,2.602,100,66.67,"rain,snow",1.1,13.4,60.3,40.8,211.2,998.0,93.4,8.8,22.4,1.7,1,,2021-02-05T07:32:54,2021-02-05T17:38:13,0.78,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-06,-8.5,-11.2,-10.2,-15.6,-20.7,-18.7,-13.3,77.8,0.04,100,33.33,snow,0.2,13.8,60.8,34.6,231.7,1012.2,82.2,12.3,86.2,7.4,4,,2021-02-06T07:31:40,2021-02-06T17:39:36,0.82,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,CXHM,71631099999,71263099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-07,-10.0,-16.0,-12.3,-14.9,-25.1,-20.3,-15.6,77.1,0.516,100,25.0,snow,1.0,14.3,43.2,30.3,249.3,1017.5,62.8,12.1,134.4,11.7,7,,2021-02-07T07:30:24,2021-02-07T17:40:58,0.85,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-08,-11.0,-16.7,-13.6,-12.4,-22.7,-17.6,-17.2,75.0,0.194,100,4.17,snow,7.1,19.4,31.3,15.7,241.0,1026.9,71.2,13.3,154.0,13.1,6,,2021-02-08T07:29:07,2021-02-08T17:42:21,0.89,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-09,-7.3,-14.5,-10.9,-10.9,-18.3,-13.9,-14.0,78.2,0.039,100,12.5,snow,0.2,20.5,27.7,16.2,285.1,1025.4,67.7,12.0,124.8,10.8,6,,2021-02-09T07:27:48,2021-02-09T17:43:43,0.93,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"71352099999,CZEL,71368099999,CWLS,CXHM,71631099999,F5184,71833099999,CXTO"
8159 sideroad 30 ,2021-02-10,-9.2,-16.2,-12.0,-13.2,-21.1,-16.3,-15.4,76.6,0.015,100,4.17,snow,0.0,15.1,28.8,18.0,252.4,1027.7,51.9,16.3,131.0,11.1,6,,2021-02-10T07:26:28,2021-02-10T17:45:05,0.96,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,CXHM,71631099999,71534099999,71263099999,F5184,71833099999,CXTO"
8159 sideroad 30 ,2021-02-11,-6.9,-13.5,-10.4,-8.7,-20.1,-14.8,-14.8,71.2,0.047,100,8.33,snow,0.3,12.4,25.6,14.2,345.5,1028.6,50.4,21.3,162.8,14.2,7,,2021-02-11T07:25:06,2021-02-11T17:46:27,0.0,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"CZEL,71368099999,71624099999,CWLS,CXHM,71534099999,71263099999,F5184,CXTO"
8159 sideroad 30 ,2021-02-12,-9.7,-15.0,-12.7,-14.0,-22.4,-18.9,-16.7,72.3,0.152,100,41.67,snow,0.2,12.6,33.5,15.7,57.4,1029.5,75.0,17.6,102.8,8.8,4,,2021-02-12T07:23:43,2021-02-12T17:47:49,0.03,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CZEL,71624099999,71368099999,CWLS,CXHM,71534099999,F5184,CXTO"
8159 sideroad 30 ,2021-02-13,-10.9,-14.6,-12.6,-17.2,-22.1,-19.8,-16.7,71.6,0.52,100,33.33,snow,4.1,14.4,34.9,24.1,60.3,1026.8,90.0,12.3,81.3,6.9,3,,2021-02-13T07:22:19,2021-02-13T17:49:10,0.06,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71352099999,71297099999,CZEL,71624099999,71368099999,CWLS,CXHM,71631099999,AV116,F5184,71833099999,CXTO"
8159 sideroad 30 ,2021-02-14,-7.5,-18.3,-11.9,-11.1,-21.9,-15.0,-14.9,78.7,0.002,100,4.17,snow,0.9,16.9,25.6,12.4,287.6,1026.4,43.8,14.7,169.3,14.6,6,,2021-02-14T07:20:53,2021-02-14T17:50:32,0.09,"Snow, Partially cloudy",Becoming cloudy in the afternoon with early morning snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-15,-6.3,-11.5,-8.9,-8.6,-21.2,-13.5,-12.1,78.0,1.769,100,50.0,snow,6.1,18.4,39.5,27.8,17.6,1023.6,94.8,11.4,85.8,7.5,6,,2021-02-15T07:19:26,2021-02-15T17:51:53,0.13,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-16,-8.6,-16.8,-11.7,-15.9,-21.7,-20.0,-15.0,76.8,2.286,100,41.67,snow,5.5,24.6,45.4,34.4,355.7,1011.4,79.1,10.6,89.0,7.7,5,,2021-02-16T07:17:58,2021-02-16T17:53:14,0.16,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-17,-7.5,-18.5,-12.5,-9.5,-22.6,-15.3,-15.9,76.6,0.0,0,0.0,,0.0,24.0,31.0,14.2,279.8,1029.2,42.0,13.9,154.0,13.4,7,,2021-02-17T07:16:29,2021-02-17T17:54:35,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-18,-4.7,-12.2,-7.9,-10.7,-17.5,-13.9,-11.1,77.8,0.089,100,8.33,snow,1.0,21.0,35.6,21.4,59.9,1028.3,95.2,10.8,75.8,6.5,4,,2021-02-18T07:14:58,2021-02-18T17:55:55,0.22,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-19,-4.0,-11.0,-7.2,-4.0,-14.2,-11.0,-9.9,81.8,0.05,100,33.33,snow,1.3,20.6,28.1,17.5,338.0,1021.6,93.4,7.1,96.3,8.4,7,,2021-02-19T07:13:27,2021-02-19T17:57:15,0.25,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71352099999,CZEL,71368099999,CWLS,CXHM,71631099999,71263099999,F5184,71833099999,CXTO"
8159 sideroad 30 ,2021-02-20,-3.3,-11.6,-7.2,-8.0,-15.0,-11.5,-10.7,77.7,1.395,100,33.33,snow,0.0,21.1,40.3,21.7,277.4,1024.2,57.5,17.6,140.3,12.0,6,,2021-02-20T07:11:54,2021-02-20T17:58:35,0.29,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CZEL,71624099999,CWLS,CXHM,71631099999,AV116,71263099999,remote,F5184,71833099999,CXTO"
8159 sideroad 30 ,2021-02-21,-4.8,-19.8,-10.8,-9.0,-19.8,-13.1,-14.3,76.0,0.0,0,0.0,snow,1.3,20.0,29.9,15.7,162.7,1030.4,29.0,14.7,178.5,15.2,7,,2021-02-21T07:10:20,2021-02-21T17:59:55,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,CXHM,71631099999,F5184,71833099999,CXTO"
8159 sideroad 30 ,2021-02-22,1.1,-6.4,-1.2,-4.4,-11.6,-7.0,-3.4,85.6,3.739,100,50.0,"rain,snow",4.4,21.2,53.6,37.2,216.7,1006.2,96.1,11.0,27.8,2.4,1,,2021-02-22T07:08:45,2021-02-22T18:01:14,0.35,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,CXHM,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-23,2.7,-2.2,0.4,-1.5,-8.9,-4.8,-1.7,86.1,0.087,100,29.17,"rain,snow",15.8,29.5,43.6,29.7,250.3,1003.0,84.3,11.2,56.3,4.9,2,,2021-02-23T07:07:10,2021-02-23T18:02:33,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-24,5.2,-4.0,0.5,0.7,-8.3,-3.5,-2.2,82.8,0.002,100,4.17,"rain,snow",0.0,33.6,56.0,36.9,255.8,1008.3,69.9,14.0,124.0,10.6,7,,2021-02-24T07:05:33,2021-02-24T18:03:52,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-25,-1.8,-6.1,-3.5,-6.5,-12.8,-9.3,-8.2,70.0,0.196,100,8.33,snow,0.0,30.2,48.6,32.2,283.7,1022.8,56.8,14.7,202.6,17.5,7,,2021-02-25T07:03:56,2021-02-25T18:05:11,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-26,0.8,-12.0,-4.4,-3.3,-12.0,-7.9,-8.5,75.4,0.0,0,0.0,,0.0,23.7,33.5,19.7,149.2,1026.6,2.7,14.4,176.1,15.0,7,,2021-02-26T07:02:17,2021-02-26T18:06:29,0.48,Clear,Clear conditions throughout the day.,clear-day,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-27,1.7,-4.2,-0.5,-0.5,-8.7,-4.1,-2.4,87.0,5.79,100,25.0,"rain,snow",0.7,19.9,52.2,29.6,235.1,1016.9,61.1,11.0,119.8,10.3,6,,2021-02-27T07:00:38,2021-02-27T18:07:47,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-02-28,4.4,-4.1,0.5,0.7,-6.7,-2.7,-0.2,95.5,0.528,100,25.0,"rain,snow",0.0,18.8,39.7,27.7,116.2,1014.1,89.3,4.8,55.0,4.9,2,,2021-02-28T06:58:58,2021-02-28T18:09:04,0.55,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-03-01,3.8,-11.5,-4.2,-1.5,-20.8,-12.0,-7.7,77.0,0.5,100,41.67,"rain,snow",1.1,17.3,66.0,43.4,302.1,1012.8,77.2,13.5,91.7,8.0,5,,2021-03-01T06:57:18,2021-03-01T18:10:22,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-03-02,-2.8,-14.8,-8.8,-9.8,-20.9,-15.0,-13.5,69.7,0.0,0,0.0,snow,0.6,17.9,45.4,27.3,230.5,1022.7,52.0,14.2,182.7,15.8,7,,2021-03-02T06:55:36,2021-03-02T18:11:39,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,71624099999,CWLS,CXHM,71631099999,AV116,F5184,71833099999"
